,name,rating,highlyRatedFor,badlyRatedFor,Industry,Location
54,EXL Service,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",Analytics & KPO ,New York City 
55,Cipla,4.1,"Skill Development / Learning, Salary & Benefits, Work Life Balance",NaN,Pharma ,Mumbai 
56,NTT DATA,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,IT Services & Consulting ,Chiyoda City 
57,UltraTech Cement,4.2,"Job Security, Skill Development / Learning, Company Culture",NaN,Building Material ,Mumbai 
58,Dr. Reddy's,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Pharma ,Hyderabad / Secunderabad 
59,Sutherland Global Services,3.7,NaN,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,Chennai 
60,Quess,3.9,Work Life Balance,Promotions / Appraisal,BPO ,Bangalore 
61,Tata Steel,4.1,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Iron & Steel ,Mumbai 
62,Bajaj Finance,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,NBFC ,Pune 
63,ICICI Prudential Life Insurance,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Insurance ,Mumbai 
64,Wells Fargo,3.9,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Financial Services ,San Francisco 
65,Jana Small Finance Bank,3.8,NaN,NaN,Banking ,Bangalore/Bengaluru 
66,Amazon Development Centre India,4.1,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Internet ,Hyderabad / Secunderabad 
67,Zydus Lifesciences,4.2,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,Pharma ,Ahmedabad 
68,Lupin,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Pharma ,Mumbai 
69,Delhivery,3.9,Skill Development / Learning,Promotions / Appraisal,Logistics ,Delhi 
70,L&T Construction,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,Engineering & Construction ,Chennai 
71,JPMorgan Chase & Co.,4.1,"Job Security, Company Culture, Skill Development / Learning",NaN,Financial Services ,New York 
72,Hexaware Technologies,3.6,NaN,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting ,Navi Mumbai 
73,HCL Group,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,Chennai 
74,Sun Pharmaceutical Industries,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Pharma ,Mumbai 
75,ITC,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,FMCG ,Kolkata 
76,FIS,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,FinTech ,Jacksonville 
77,JSW Steel,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,Iron & Steel ,Mumbai 
78,Indian Army,4.7,"Job Security, Skill Development / Learning, Company Culture",NaN,Defence & Aerospace ,New Delhi 
